CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,CODIGO_MUNICIPIO,TIPO,LATITUD,LONGITUD
19,CAUCA,SUÁREZ,19780,Municipio,2.936865997,-76.7458243
19,CAUCA,SUCRE,19785,Municipio,2.057735184,-76.90993965
19,CAUCA,TIMBÍO,19807,Municipio,2.369625312,-76.71051932
19,CAUCA,TIMBIQUÍ,19809,Municipio,2.699475127,-77.49131577
19,CAUCA,TORIBÍO,19821,Municipio,2.975771999,-76.20331566
19,CAUCA,TOTORÓ,19824,Municipio,2.475213085,-76.39675937
19,CAUCA,VILLA RICA,19845,Municipio,3.180627317,-76.46445558
20,CESAR,VALLEDUPAR,20001,Municipio,10.21890277,-73.45784764
20,CESAR,AGUACHICA,20011,Municipio,8.248735219,-73.6227405
20,CESAR,AGUSTÍN CODAZZI,20013,Municipio,9.949215908,-73.22358244
20,CESAR,ASTREA,20032,Municipio,9.510727925,-73.94214641
20,CESAR,BECERRIL,20045,Municipio,9.727732939,-73.25250522
20,CESAR,BOSCONIA,20060,Municipio,9.946391309,-73.86628815
20,CESAR,CHIMICHAGUA,20175,Municipio,9.27797765,-73.84697903
20,CESAR,CHIRIGUANÁ,20178,Municipio,9.426648354,-73.54797894
20,CESAR,CURUMANÍ,20228,Municipio,9.238771332,-73.48810861
20,CESAR,EL COPEY,20238,Municipio,10.19995356,-73.91282064
20,CESAR,EL PASO,20250,Municipio,9.683474681,-73.73833778
20,CESAR,GAMARRA,20295,Municipio,8.337726622,-73.70649199
20,CESAR,GONZÁLEZ,20310,Municipio,8.405516522,-73.37537309
20,CESAR,LA GLORIA,20383,Municipio,8.588002247,-73.61602384
20,CESAR,LA JAGUA DE IBIRICO,20400,Municipio,9.52099808,-73.32249338
20,CESAR,MANAURE BALCÓN DEL CESAR,20443,Municipio,10.38027852,-73.00706275
20,CESAR,PAILITAS,20517,Municipio,8.938916143,-73.57247213
